topics,Cluster,Top_Words,Metadata,2013-03-01,2013-03-02,2013-03-03,2013-03-04,2013-03-05,2013-03-06,2013-03-07,2013-03-08,2013-03-09,2013-03-10,2013-03-11,2013-03-12,2013-03-13,2013-03-14,2013-03-15,2013-03-16,2013-03-17,2013-03-18,2013-03-19,2013-03-20,2013-03-21,2013-03-22,2013-03-23,2013-03-24,2013-03-25,2013-03-26,2013-03-27,2013-03-28,2013-03-29,2013-03-30,2013-03-31,2013-04-01,2013-04-02,2013-04-03,2013-04-04,2013-04-05,2013-04-06,2013-04-07,2013-04-08,2013-04-09,2013-04-10,2013-04-11,2013-04-12,2013-04-13,2013-04-14,2013-04-15,2013-04-16,2013-04-17,2013-04-18,2013-04-19,2013-04-20,2013-04-21,2013-04-22,2013-04-23,2013-04-24,2013-04-25,2013-04-26,2013-04-27,2013-04-28,2013-04-29,2013-04-30
X52,10,hits innings game runs hit home visiting games inning series sox season starter win double career league pitched red ,,NA,0.0003607549,0.0016434235,0.0062341071,0.0191558533,0.0124991834,0.0086785079,0.0167630644,0.0009157536,0.0009209101,0.0160431298,0.0132821884,0.0116059789,0.0163496647,0.0125017074,0.0001788346,0.0010978327,0.0116370624,0.0096573653,0.0125035265,0.0124415501,0.0162512065,0.0005013153,0.0023660184,0.00771363,0.0126085747,0.011493233,0.0088854609,0.0002005171,0.0002170969,0.0013645564,0.0180319386,0.003159757,0.0012847329,0.004049348,0.0033528934,0.0001691577,0.0007184594,0.0135822872,0.0102632261,0.0191820847,0.015625213,0.0087416232,0.0002434007,0.0010871888,0.0099217738,0.0182375334,0.0118360069,0.0155186839,0.0092887234,0.0002064991,0.0011892013,0.0129644972,0.0117990666,0.0181254478,0.014251281,0.0102698509,0.0001879134,0.0008900252,0.0053357345,0.0097823359
X53,10,link http report special reuters pdf december pix tax big graphics graphic words business iran part thursday usa inequality ,,NA,0.0024573986,3.30731465740784E-005,0.0001416117,0.0002167715,0.0009136754,8.46097385124636E-005,1.56506224106749E-005,2.04115786516947E-005,0.0005066948,0.0017667877,0.0003180604,0.0002324552,0.0001809181,1.43234624880468E-005,0.0001969866,1.2522178880653E-005,0.0047568015,0.0035021916,0.0003188211,0.000177425,0.0023523239,0.0008947814,7.34762414155095E-005,0.0002149679,0.001732664,1.72425426918446E-005,0.0020915129,2.05618383461245E-005,1.48843183949136E-005,1.44983101421754E-005,1.42222290231428E-005,0.0050911331,0.0005281685,0.0022424419,0.0004008901,1.97785618745112E-005,0.000015568,0.0017115661,3.90133173416697E-005,0.0001473815,0.000826733,1.72096518044254E-005,0.0015895166,4.90758625096354E-005,0.0001557704,0.0012651927,4.21577668080156E-005,1.64885134647355E-005,5.86674384255986E-005,7.27197805278131E-005,1.38322129864442E-005,0.0023608999,0.0034273159,0.003319875,0.0009105499,4.02468871595812E-005,1.34945371920831E-005,0.0021181489,0.0068786528,0.0063614384
X54,10,budget cuts spending obama billion government fiscal house programs congress federal republicans deficit sequestration president plan automatic trillion deal ,,NA,0.0017308305,0.0016322623,0.0020790145,0.003168967,0.0021917407,0.0019618802,0.0016681969,0.0012470232,0.0005585178,0.0029225136,0.0047651198,0.003535436,0.0047078954,0.0019878612,0.0004339528,0.0007273753,0.0089461752,0.0037866994,0.0033909428,0.0059577494,0.0049878666,0.0057439333,0.0027653592,0.0130521568,0.0028228218,0.0050997558,0.0149409968,0.0062693535,0.001157608,0.001693236,0.0002611582,0.003056792,0.0019728746,0.00286406,0.0035523452,0.0031198622,0.0020199519,0.0072260969,0.00404646,0.0029968872,0.002763048,0.0111786896,0.0045272374,0.0015176459,0.0039672861,0.0024731656,0.0060903105,0.0046508553,0.0071430069,0.0022498234,0.0016209077,0.0031248868,0.0042983299,0.0030966,0.0066096233,0.0049436264,0.0003134032,0.0017378941,0.006749743,0.0027832326
X55,10,england wales ireland scotland france nations italy irish saturday match rugby championship reuters march grand slam team editing lions ,,NA,0.0001989459,0.0021651457,0.0029009912,0.0010057119,0.0008862223,0.0015402846,0.0028019541,0.0012697992,0.0020890501,0.0021754264,0.0016553098,0.0010596075,0.0008613756,0.0004074724,5.92529251532967E-005,0.0002269129,0.0018422843,0.0001443801,0.0019593648,0.0011875835,0.0004777515,0.0002045155,0.0017017118,0.0006827303,0.0019011599,0.0016196855,0.0011808479,0.0003214029,0.0011037611,0.0036060314,0.0002266083,0.0001484069,0.0007727542,0.0013689667,0.000732371,0.0005484366,0.0013278729,0.0037116507,0.0020057545,0.0032086626,0.0008164512,0.0057373849,4.71231264615943E-005,0.0029685314,0.0051851833,0.0018477024,0.0009862874,0.0026934816,0.0007985164,0.0017431864,0.0010688591,0.002036117,0.000928224,0.0030119805,0.0015903633,0.001958543,0.0014835319,0.001410675,0.001068682,0.0013508678
X56,11,french france hollande paris president francois euros sarkozy minister socialist cahuzac public jean john budget left month march catherine ,,NA,0.0060290033,0.0010340734,0.0048601757,0.002841423,0.003650494,0.0043035408,0.0073594356,0.0040077326,0.0001970667,0.0053192127,0.0057717341,0.0038263857,0.005461202,0.0050685634,0.0060388291,0.0010582569,0.0096940433,0.0051474881,0.0049471421,0.0041097282,0.0044234366,0.0108685184,0.0035908674,0.0093254855,0.0072012895,0.0070660125,0.0095564331,0.0101410446,0.0047318715,0.0009963485,0.012089391,0.0092666531,0.012709064,0.0118036466,0.0102407946,0.0050319971,0.0016505041,0.0093376568,0.0050567965,0.004253943,0.0015179591,0.0074378974,0.0038701521,0.000638483,0.0073432577,0.0035595977,0.008194336,0.0078003656,0.0061121343,0.0019031822,0.0001672418,0.0092141837,0.0051489104,0.005462906,0.0062606879,0.0070088236,0.0031599316,0.0064611805,0.0063247774,0.0117716441
X57,11,racing horses race al horse dubai godolphin zarooni national cup sheikh trainer british mohammed jockey bha positive steroids saturday ,,NA,0.0018104627,0.002017209,0.000101604,0.0009094045,0.0009238668,0.0003106913,0.0014658474,0.0004898934,0.0011265921,0.0020961311,0.0032075913,0.0007687731,0.003061353,0.0017742722,0.0009977064,0.0008798181,0.0022326047,0.000839929,0.002984126,0.0031221559,0.0054734891,0.0124102667,0.0014117811,0.0041980048,0.0018215524,0.0075887334,0.0004570905,0.0018515898,0.0001293595,0.0012189611,0.0003687329,0.0004184426,0.0006866814,0.0002916346,0.000264435,4.34716669437766E-005,0.0014001618,0.0001799312,0.0001111039,0.0025908491,0.0006756551,0.0001315753,0.0005879227,0.001312661,0.0011599274,0.0001078955,0.0003109023,0.0022001017,0.0025209643,4.88714102914604E-005,0.0011293949,0.0021150659,0.0043941479,0.0027045722,0.0029285343,0.0016714764,0.0038990876,0.0006926823,0.0011999567,0.0134875545
X58,11,music band festival year london died rock opera singer stage jones tour time reuters country british hall songs played ,,NA,0.0017913168,0.0016706381,0.0040203778,0.000398066,0.0018045464,0.001340687,0.0085508431,0.000075132,0.0021293953,0.0025335613,0.0037437853,0.0060182128,0.0110077054,0.0133542157,0.0153971104,0.0294391195,0.0015883402,0.0041971631,0.0034594005,0.0035380286,0.0085194802,0.0314501377,0.0305357235,0.0040140813,0.0028131129,0.0041727822,0.003219095,7.56850896074587E-005,0.0003306707,0.0001644509,5.23499241611947E-005,5.97657643793614E-005,0.0028244773,0.0018573218,0.0019582005,0.0023676995,0.0016810028,0.0025006464,0.000146219,0.0055276347,0.0080266611,0.011797706,0.0189455353,0.0180769062,0.004084198,0.0017571374,0.0053014659,0.0029596055,0.0116392086,0.0172314609,0.019440402,0.0028053021,0.0013260347,0.0020720377,0.0038848968,0.0001434095,0.0001634588,0.0020853874,0.0039954953,0.0001758957
X59,11,nuclear keys plant power reactors fukushima carnival cruise water company tepco tokyo ship indictment cooling reuters japan disaster system ,,NA,0.0009519665,8.20000806402129E-005,0.0141424043,0.0073325039,0.0072805332,0.0098349222,0.0076251746,0.0008893828,0.0004445712,0.0098712616,0.0083400705,0.0087663599,0.0083097308,0.0074697158,0.0006137509,0.0004213271,0.0099566681,0.0057425862,0.0104846315,0.0051800082,0.008291486,0.0002758335,0.0009482172,0.0111914635,0.0101794623,0.0108787726,0.0148566953,0.0130371935,7.64961588571905E-005,0.0003739088,0.0059084738,0.0170058128,0.0133654152,0.0002910992,0.0114677721,0.0003323298,0.0008538554,0.0135823394,0.0130317024,0.0101474653,0.0107505228,0.0083305789,0.0003237576,0.0004730927,0.0088597066,0.0096911741,0.0081540353,0.00813245,0.0092469058,0.000152327,5.62869313310934E-005,0.0093647752,0.0110755189,0.0100053011,0.0110423799,0.0092900485,0.0001896036,0.0006184591,0.0110176217,0.0050266635
X60,11,baseball league season team manager world puerto dominican rico classic game york major day opening pitcher spring san francisco ,,NA,0.0001191773,0.0005975978,0.0076904593,0.0040045989,0.0076893911,0.0082859437,0.0077601397,0.0009542054,0.0004325147,0.0091549836,0.0070487348,0.0133977975,0.0046747393,0.0088946651,0.0002058013,0.0001209175,0.0101524404,0.0058893817,0.0052278234,0.0036319076,0.0043613123,0.0002735925,0.0002190546,0.0069209783,0.0047074507,0.0181858861,0.0058071379,0.0008587575,0.000351499,0.000134269,0.0038525355,0.0112781942,0.007623177,0.007123131,0.0101435845,0.0001463775,0.0001171349,0.0058708984,0.0042087255,0.005527451,0.0047698221,0.0068541742,0.0001414789,0.000127104,0.0039353478,0.0050858621,0.0059744747,0.0077136064,0.0047251565,0.0001929383,0.0004701353,0.0042006873,0.0069126268,0.0049218027,0.0064237538,0.0028163425,0.0001428871,0.0003630245,0.0123092518,0.0045817355
X61,11,britain south africa spain sweden france denmark italy david finland australia netherlands peter ireland dnq ford matthew rally germany ,,NA,0.0066792385,0.0057586371,0.0059699788,0.0071466844,0.0043908219,0.0082272517,0.0069517646,0.0038011964,0.0052596719,0.0074575466,0.0081378271,0.0100866673,0.0166545419,0.0148287926,0.0063608493,0.005475051,0.0119778064,0.0128250896,0.0141679545,0.0151436623,0.0143091884,0.0208772777,0.0159668687,0.0169507844,0.0185275846,0.0186369613,0.007222557,0.0078923687,0.0038885369,0.0099687066,0.0046555202,0.0099055009,0.0043855327,0.0059592196,0.0075260068,0.0042107142,0.0056548557,0.0081076251,0.0079502185,0.008628512,0.0063430147,0.011059619,0.0046885351,0.0020551419,0.0045343034,0.0079697663,0.0038459992,0.0087686722,0.0032268816,0.0026832422,0.0019684629,0.0075662155,0.0050253087,0.0082892893,0.0037133231,0.0041393391,0.0046283811,0.0052877906,0.0098943879,0.0097812849
