topics,Cluster,Top_Words,Metadata,2013-03-01,2013-03-02,2013-03-03,2013-03-04,2013-03-05,2013-03-06,2013-03-07,2013-03-08,2013-03-09,2013-03-10,2013-03-11,2013-03-12,2013-03-13,2013-03-14,2013-03-15,2013-03-16,2013-03-17,2013-03-18,2013-03-19,2013-03-20,2013-03-21,2013-03-22,2013-03-23,2013-03-24,2013-03-25,2013-03-26,2013-03-27,2013-03-28,2013-03-29,2013-03-30,2013-03-31,2013-04-01,2013-04-02,2013-04-03,2013-04-04,2013-04-05,2013-04-06,2013-04-07,2013-04-08,2013-04-09,2013-04-10,2013-04-11,2013-04-12,2013-04-13,2013-04-14,2013-04-15,2013-04-16,2013-04-17,2013-04-18,2013-04-19,2013-04-20,2013-04-21,2013-04-22,2013-04-23,2013-04-24,2013-04-25,2013-04-26,2013-04-27,2013-04-28,2013-04-29,2013-04-30
X1,1,vienna austria wacker austrian salzburg st wiener rapid neustadt mattersburg wac admira innsbruck modling ried graz sturm sc stronach ,,NA,0.0020580758,0.0038985667,0.0060098729,0.0048147367,0.0028798216,0.0036456085,0.0019528597,0.0006604945,0.0007433795,0.0025823443,0.0020639683,0.0031488247,0.0057031518,0.0047678792,0.0001952197,0.0009320854,0.0021239733,0.0018417191,0.0039074485,0.0026058593,0.0021153434,0.0016380665,0.0002977619,0.0023667124,0.0005186658,0.002532813,0.0069863607,0.0017895067,0.000778574,0.0045239872,0.0032621477,0.000395937,0.0035954456,0.0016097668,0.0014572175,0.0004336869,0.0012158726,0.0022385232,0.0009515052,0.0033936903,0.0043543984,0.0014239125,0.0019505825,0.0005876446,0.0013748476,0.0022619083,0.0034324626,0.0008034683,0.0012033001,0.0011229605,0.0011115779,0.0022687697,0.0020981221,0.0032226488,0.000557855,0.0009991362,0.0004940025,0.0006756001,0.0034800364,0.0045346972
X2,2,sudan south border oil peace khartoum rebels war bashir sudanese army darfur farc state juba president north agreed colombia ,,NA,0.0067142718,0.0074201526,0.0115124828,0.0111878126,0.0122721788,0.0146932625,0.0112773745,0.0066219288,0.0059294303,0.0100550638,0.0121823588,0.0120990444,0.0125365432,0.0104413537,0.0043284823,0.0041922108,0.0089393096,0.0150864466,0.0157736481,0.0128205591,0.0091194767,0.0063811516,0.0066331755,0.0154765274,0.0100112747,0.0090428443,0.0126652978,0.011393651,0.0052099475,0.0042903852,0.0051766637,0.0070126067,0.0105718285,0.0101290383,0.0104418439,0.0083924412,0.005821942,0.0106917514,0.0105435006,0.0098327577,0.0105885927,0.0110679452,0.0055015896,0.0037760398,0.0069068921,0.0096705957,0.0101371317,0.0119979061,0.011743246,0.0091728692,0.0056045195,0.010642977,0.0134791123,0.0081822315,0.0097906357,0.0099446495,0.0061223207,0.0052847977,0.0052960855,0.0109112697
X3,2,zagreb austria nk sweden split dnf germany switzerland france march italy sports infostrada iditarod alaska cibalia koprivnica belupo slaven ,,NA,7.16217924394553E-005,0.0039630974,0.001357543,0.0008328749,0.0003180942,0.0025034342,0.0008821121,0.0002138261,0.0011778061,0.0010478056,0.0025347721,0.0490192796,0.0314404345,0.0121396109,0.0086932985,0.0021341468,0.0078530583,0.0077835558,0.0013232943,0.0021462157,0.0011499255,0.0034206415,0.0009587811,0.0003388918,0.0010554628,0.0010659246,0.0032845135,0.0018868474,0.0006342466,0.002393575,0.0004216275,0.0013377976,0.0014189505,0.0003148761,0.0032223447,0.0001173697,0.0009361365,0.0009053374,0.0004676593,0.0007372576,0.0012155658,0.0008442726,0.0017139339,0.0009736704,0.0013732605,0.0002017833,0.0002265386,0.0020492999,0.0004867936,0.000210098,0.000278778,0.000382421,0.0019475602,0.0013731159,0.0013564818,0.0002240061,8.32246435645983E-005,0.0010478815,0.0001947224,0.0051075477
X4,3,women valle men girls declaration sexual kidnap online female woman violence role york jury real jurors tanzania fantasy rape ,,NA,0.007364524,0.0048233816,0.0012007179,0.0025306323,0.000441992,0.0001457167,0.0042307137,0.0114539839,0.0180794344,0.0053720077,0.0019342137,0.0018405623,0.000800524,0.0014017736,0.0012298863,0.0011782829,0.0055623506,0.002722433,0.0047409972,0.0010521409,0.000260817,0.0052200889,0.013596221,0.011014202,0.0012258127,0.0108139857,0.0007705385,0.0014041357,0.0027372468,0.0035102049,0.0003800667,0.0028946725,0.0071802266,0.0022612186,0.0004461285,0.005268113,0.0028962188,0.0057339346,0.0040112169,0.0003234965,0.0012452244,0.000308021,4.74339319660097E-005,0.00004114,0.0026486534,0.0031080246,0.0001376963,0.0018546133,0.0004771581,0.0002185134,0.0007431505,0.014020933,0.0031789227,0.0049638412,0.0008929407,0.0006199447,0.0041535286,0.0010884407,0.0030003465,0.0015041619
X5,3,percent index points dow stocks high year market investors shares record york stock industrial jones rose average gains standard ,,NA,0.0002054687,0.0023633919,0.0079533885,0.0022788307,0.0012031288,0.0018581432,0.0002682852,7.61105181932667E-005,2.04084150947311E-005,0.0007173065,0.0002777904,0.0004438213,0.0011639113,0.0018993659,0.0003011344,1.78181638266332E-005,6.49612238569322E-005,0.0004564623,6.940689806062E-005,0.0015106023,5.28664618897725E-005,2.55221865491602E-005,9.60507934789669E-005,2.43733495934372E-005,8.65253760048912E-005,0.0002729822,0.0024937405,0.000154557,2.1179319201237E-005,2.06300570998667E-005,0.0001332531,0.0008197788,0.0008814872,0.0025967926,0.0002730273,2.81434771930731E-005,0.0003117093,0.0010787425,0.001571153,0.0013246711,0.0081524596,0.0012391147,0.0011078138,2.40149256297758E-005,0.0004170292,0.0004124544,0.0003142252,0.0023202702,0.0002141341,5.34558656529793E-005,0.0001949846,0.000151719,0.0001089549,0.000536621,0.002382842,0.0007750292,0.0001299716,0.0002766232,0.0004558675,0.0001777615
X6,3,military russell army defense mental murder base shooting hasan bales death trial assault stress guilty martial prosecutors plea hearing ,,NA,0.0002028157,9.69901796488278E-005,0.0001398284,0.0003353221,0.0005105991,0.0002662966,0.0003283227,0.000386783,8.60380907475464E-005,0.0001678878,0.0002210931,0.0001743105,0.0006034344,0.0008078144,0.0002258949,0.0001387567,0.0009327198,0.0007981968,0.0007548219,0.0002707066,0.0001484997,0.000078126,0.0001419426,0.000287389,0.0003438569,0.0002233866,0.000081506,0.0003024248,7.376347586433E-005,6.31506985343161E-005,0.0003967382,0.0004189977,0.000357919,0.0004933551,0.0003532296,0.0001158149,0.000075935,0.0001543456,0.0008403058,0.000133578,0.0003104539,0.0003653168,6.9671365439093E-005,0.0004574118,0.0493395496,0.075001303,0.0530899116,0.0359097437,0.0056191209,0.0092338276,0.0036608244,0.0105781313,0.0095767615,0.0049585337,0.0046201914,0.00231185,0.0003036152,0.0007911071,0.0018996703,0.0034924304
X7,4,city manchester united arsenal chelsea west tottenham liverpool hotspur villa everton reading southampton aston swansea albion wigan bromwich fulham ,,NA,7.42584574658856E-005,0.0002762446,0.0019176246,0.0003145084,0.0004406077,0.0038010319,0.0017818399,0.0021463555,4.24337755328518E-005,0.0049553077,0.0022203641,0.0012362235,0.0004122863,0.0024305167,0.001925131,0.0007778013,0.0004911415,0.0009126459,0.0005031957,0.0003406551,0.0013280702,0.0027208831,8.26576577995031E-005,0.0025249329,0.0011946551,0.0009120307,0.0011620221,0.0048101992,0.0001240253,0.0009552132,4.20778080240192E-005,0.0005809409,0.0001062909,0.0015790981,0.0005970631,0.0009239914,0.0006783611,0.0003313617,0.0010324263,0.0004202832,0.0008095556,0.0007977725,0.0011365213,0.0001004816,0.0006694698,0.0020885255,0.0040173175,0.0082951235,0.0140314573,0.0040820474,0.0010238381,0.0051192367,0.0055105849,0.0183598185,0.0059527773,0.0040691424,0.0158079792,0.023812447,0.0120385541,0.0036432633
X8,4,japan china japanese abe tokyo islands sea south minister war shrine asian chinese east beijing territorial prime dispute foreign ,,NA,0.0018525935,0.0022873731,0.0057510537,0.0019649839,0.0016215716,0.0019756435,0.0025911737,0.0036338708,0.0040583935,0.0021346333,0.0014658023,0.0014402213,0.0029038306,0.003113837,0.0037876133,0.0018304688,0.0031699887,0.0032201465,0.0015647147,0.0020132505,0.0014012467,0.0027113565,0.0074428863,0.0026007923,0.0026771112,0.0019398385,0.0016955681,0.0040589469,0.0038860145,0.0049757816,0.0032245849,0.0039454642,0.0039122909,0.0041774776,0.0034612855,0.006715418,0.0025312447,0.0033044191,0.0071345901,0.0019282399,0.005007614,0.0038399141,0.0046384412,0.0050501348,0.0022573974,0.0041556203,0.0034606365,0.0038276944,0.0032704569,0.0043773318,0.0043640775,0.0027563272,0.0042413978,0.0046103827,0.0040337316,0.0051675079,0.005259487,0.0062358818,0.0089798164,0.0002249616
X9,4,points league win season games home champions place top game sunday bottom saturday fourth point title victory relegation goal ,,NA,0.0002253662,0.0015364667,0.0001966229,0.0017260235,0.0085471418,0.0124477644,0.0183455795,0.000217932,0.0004414673,0.0008990041,0.0008472321,0.0004580032,0.0063125566,0.0012528771,0.0002872641,4.86385692760953E-005,0.0002118311,0.0002674237,0.0020647875,0.0044090853,0.0006272824,0.0001795094,8.46101954789485E-005,0.0003384071,0.0001735817,0.0001839566,0.0031919336,0.000734317,6.37881080517344E-005,0.0012863658,0.0005018239,0.0020323714,0.0035845202,0.0085514089,0.0151023095,0.0004741675,0.000661613,0.0008541687,0.0003729507,0.0010942283,0.0087335653,0.001101299,0.0001707679,5.38852376701261E-005,0.0003467339,0.0001342789,0.0004571798,0.0043871059,0.0009263702,0.0006469168,0.0002254045,0.0003827646,0.0001239066,0.000159173,0.0054816401,0.0005941598,0.0001244344,0.0004095129,0.0003441081,0.0021690839
X10,4,bank central rate policy rates ecb economy interest inflation monetary currency banks percent cut economic year growth financial meeting ,,NA,0.00238516,0.0078701931,0.004255791,0.0014066332,0.0019884395,3.48598496695413E-005,0.0021599583,4.1125826466384E-005,0.0080516457,0.0010306729,0.0149425952,0.0127367452,0.0085431623,0.0077321183,0.0001831747,0.0080746928,0.0017785395,0.0049453874,0.0156559218,0.0140709096,0.0068609026,0.0017499758,0.01017893,0.000034512,0.0007550259,3.47407631072741E-005,0.0050084682,0.0003582069,0.0003374098,0.0032014208,0.001303764,0.0014568744,0.0012684801,0.0018814819,0.0015002225,0.0002172266,0.0019775123,0.000625773,0.0003947452,0.0011282253,2.76716595254684E-005,4.43311558701481E-005,0.0032635415,2.7951618394275E-005,9.48065163466622E-005,0.0008185323,0.0039696363,0.0039597632,0.002603506,0.0048423922,0.001302567,8.42510521306702E-005,0.0008168588,0.001320939,0.0047123937,0.004608167,0.0034034912,0.0036504115,0.0058832667,8.40031056951656E-005
X11,5,rodman tinkler kim basketball country leader dennis davidson sports blackwood naira nba balloon awesome harley noble kid program leaving ,,NA,1.16902787345364E-005,0.0001034727,1.13443687905634E-005,0.0001529429,1.28933931500695E-005,0.000125793,0.0004458853,0.0001203554,0.0003346479,0.0017728939,0.0003138284,8.35357835915422E-005,7.38714469915818E-005,6.35182927317873E-005,0.000092757,1.00583932019586E-005,0.0022544671,0.0001013364,1.55988156545934E-005,0.0001654771,1.52528696777021E-005,1.44073312033129E-005,1.74972789637567E-005,0.00128438,0.0037507497,0.0005241617,5.3815673621968E-005,1.65162195023399E-005,1.19557729039069E-005,0.0001046902,5.58574772796146E-005,8.17124282201488E-005,0.0115063898,0.0048136892,1.40694578429496E-005,1.58870556154143E-005,1.25049188388463E-005,1.4506735281633E-005,0.0001550292,0.0002129904,0.0002886082,5.98395019786884E-005,1.28481990002521E-005,0.000095471,0.0001156316,0.000674954,0.0002045875,1.67039348798065E-005,2.23303665770602E-005,1.78604334245645E-005,0.000064563,0.0004713196,1.46202178369192E-005,2.73267644413643E-005,1.32139446203153E-005,1.30056846681457E-005,1.08394363672712E-005,0.0001469382,0.000152557,1.66787852095715E-005
X12,5,bank banks financial banking pounds capital britain lloyds uk london bankers barclays bonuses bonus british billion crisis pay industry ,,NA,0.0014673612,4.61381906005999E-005,0.0019686161,0.0005701366,0.0003644458,0.0019842219,2.72772913027778E-005,2.85088791307738E-005,2.00322523596786E-005,0.0102121288,0.0011515676,0.0005964702,0.0006995138,0.0007071888,0.0072199345,1.74897439465235E-005,0.0160141356,0.0041770229,0.0136769546,0.0002089113,0.0204432793,0.0017669332,0.0023241257,0.0019020402,0.0065304157,0.0008306537,0.0024008003,0.0003707365,2.07889473570587E-005,2.02498091155449E-005,0.0001031825,0.00114479,0.0031904737,3.50312292761048E-005,0.0001108577,2.76247437536711E-005,0.0002714607,2.52246139598474E-005,0.0013275252,0.0001607613,0.0009897829,0.0005786001,0.0001712409,1.93763719487377E-005,0.000511349,0.0014040941,0.0004431734,0.0003923594,6.77352557779197E-005,3.10560942585477E-005,0.0002751215,0.0001195907,3.02267203432583E-005,3.12456893045739E-005,0.000805412,0.0007004631,8.79662252656813E-005,2.10765427818036E-005,0.0001374245,0.0017268235
X13,5,bolshoi ballet attack dmitrichenko theatre filin acid police director moscow dancer artistic dancers sergei russian face troupe blinded russia ,,NA,0.0020360607,0.0001506852,0.0030331308,0.0028278956,0.0017056739,0.003881155,0.0019841289,0.000042001,0.0001093951,0.0002303113,0.0013434604,0.0038719567,0.0019915075,0.0034448743,0.000027299,0.000025767,0.0013521743,0.0015359426,0.000639252,0.0008589746,9.03305788404278E-005,3.69078127367987E-005,0.000186435,0.00131304,0.0009487571,0.0044910253,0.0030204381,0.000290626,3.06275618457096E-005,0.0005683685,9.55645185670308E-005,0.0081571492,0.0132081231,0.0021193438,0.0001071053,6.74146864205837E-005,0.0001127649,0.00015909,0.0014742674,0.0031088459,0.0108968423,0.0008719391,3.29137239933368E-005,4.73154051853173E-005,0.0010526828,8.81140884022968E-005,0.0020974118,0.0006262263,0.009386151,0.0026354903,0.0011072541,0.0015869665,8.69347219549152E-005,0.0047131175,0.0003934025,0.0023385165,2.77677997382125E-005,0.0006201815,0.0111032905,0.0001459862
X14,5,masters woods augusta golf mcilroy national tiger major scott round georgia world watson number green tournament champion pga cabrera ,,NA,0.0059479231,0.0061265066,0.0100356168,0.0108909845,0.0099254707,0.0092615073,0.0075777736,0.0028211667,0.0053229916,0.0093754227,0.0109904681,0.0101324616,0.0138881275,0.0091025385,0.0037711491,0.005443601,0.0104572964,0.0082162005,0.0144999785,0.0135071116,0.0114463675,0.0137097327,0.0148753943,0.0112096793,0.0093308241,0.0073222739,0.0095184512,0.0076387723,0.0060912189,0.0074364072,0.0062621328,0.0081873214,0.0092712936,0.0086400738,0.0130610078,0.0107078295,0.0079629305,0.0148407875,0.0104064219,0.0090099365,0.013497501,0.0143454529,0.0047172038,0.0054715461,0.0102580472,0.0070875339,0.0101588306,0.0114626699,0.016006466,0.0071419114,0.0042208639,0.0116935043,0.0101114539,0.0108428626,0.0125224917,0.0069445311,0.0045629655,0.0058087887,0.0156646841,0.0140201781
X15,5,reuters editing reporting april tuesday told march wednesday adds official monday writing details reporters source sandra maler white background ,,NA,3.49027983970731E-005,3.59663262582755E-005,0.0002589077,0.0417262999,0.010745474,0.0188995025,0.0020062555,0.0026129017,0.0029334244,0.0009087166,0.0004503861,2.72281296762809E-005,0.0002557249,4.08355714457673E-005,2.10571873010983E-005,4.14905191820933E-005,0.0001748642,0.0010381993,0.000903521,0.0007079689,0.0021782835,0.0003004493,0.0010513965,0.0010522634,0.0005580693,0.0006357649,0.0004300503,0.0001798771,2.36246889592186E-005,0.000023012,0.000057069,0.0003370576,0.0003175402,0.0001312074,0.0004469177,9.90081204253732E-005,0.0002018967,0.0017850086,0.0031237697,0.000098612,0.0004039086,0.0002664112,2.53881290240894E-005,4.24828469955361E-005,0.0004051965,0.0007501333,0.0001273296,0.0002337102,4.99983747569747E-005,4.33667331376048E-005,2.19547661338715E-005,9.6407749419497E-005,0.000035934,0.000128772,7.1960418156555E-005,2.56993217800428E-005,2.14188003342172E-005,2.39515141870186E-005,0.0001665909,0.0008950721
X16,6,china chinese beijing xi li yuan people shanghai jinping premier party foreign reuters communist top economic policy president state ,,NA,0.0087119449,0.0013100509,0.0044168993,0.0077909145,0.0065637918,0.0121394362,0.0180605674,0.0151516953,0.0178688074,4.41337721933857E-005,0.0002864123,0.0080814455,0.0113645013,0.0124740076,0.0148791951,0.0136133869,0.0100088281,0.0029932197,0.0006371735,0.0073752504,0.0121013195,0.0287114541,0.0311124578,0.0223732051,0.0107648424,0.0035729037,0.0026177239,0.0012519731,0.0004121227,5.52626717146209E-005,0.0004892324,0.0004937893,0.0009212491,0.0042012325,0.001095859,6.05680979150418E-005,0.000078855,0.0001447358,4.98921255062845E-005,0.0002207633,0.0011090839,0.0003336633,0.0002809918,0.0001154721,0.0004693873,0.0008502687,0.0004571791,0.0005742013,0.0009505195,0.0007486358,4.23585312147663E-005,0.0002571042,0.0001241738,0.0021398437,9.15711621416331E-005,0.0010095158,0.0001135573,0.0001133046,0.00178222,0.0001982127
X17,6,rice rutgers university coach barchi video president pernetti jersey basketball players public school banda athletic director fired faculty behavior ,,NA,0.000481933,0.0024623323,0.0023165848,0.0008499955,0.0005409415,0.0008718858,0.0007110684,0.0001214287,0.0001216147,0.0010442648,0.0008143135,0.0011313894,0.001302796,0.0010284601,0.0005635936,0.0004681162,0.0015285351,0.0004639224,0.0006672372,0.0010120336,0.0008235647,0.0016320856,0.0017588917,0.0002187303,0.0033474226,0.0018999025,0.0128655993,0.0184671511,0.0010686253,0.0009498503,0.0007256705,0.0014762129,0.0012439102,0.0005079967,0.0004465452,0.0001686651,0.0003425067,0.0006756456,0.0010926709,0.001423006,0.0029311837,0.0013688409,0.00200703,0.0005680998,0.0010229904,0.0022289911,0.0019871747,0.0015355438,0.0007513931,0.000171389,0.000621094,0.0017320336,0.0011632601,0.0007846875,0.000965026,0.0016578243,0.0003429957,0.0009193832,0.001136465,0.0003623161
X18,6,afghanistan afghan taliban karzai forces nato kabul troops hagel foreign security pakistan province hamid led war officials president peace ,,NA,3.04143264855064E-005,0.0009286179,0.0023643034,0.0002593387,0.0002040399,7.03913007516895E-005,0.0019353951,0.0047361429,2.997286638318E-005,0.006360592,0.0086808259,0.003016426,0.0055274847,0.0017443769,3.64027011892993E-005,0.0011902906,0.0008598762,0.000341063,0.0010767067,0.0010232023,0.0037523032,0.004835045,0.0001634125,0.0001566024,0.0012151965,0.0004134594,0.0006364864,0.0002413602,0.0010315247,4.1048270919873E-005,0.0002635019,4.98907515476939E-005,0.0018900113,0.0038962707,0.0011703335,0.0039408102,0.001172846,0.0116307925,5.11937952456362E-005,0.0005175424,0.0003873379,0.0047513248,0.0019791717,0.0011788335,0.0003620518,0.0008825501,0.0002705357,0.000193715,0.0003796345,0.0004140823,0.0007089041,0.0020275087,0.0001768168,0.0001701727,0.0008399558,0.000285941,0.0021902946,3.15353655333299E-005,0.0015559811,0.0014938915
X19,6,ukraine yanukovich tymoshenko kiev fish fishing park trade species year animals national wildlife elephants endangered sea ukrainian forest great ,,NA,0.0007955558,2.32566759081016E-005,0.001024038,0.0001665469,0.0003960599,0.0003067483,0.002114705,0.0009632813,0.0015650881,0.001440459,0.0013516468,5.98096488518743E-005,0.0016333966,0.0004046722,0.0001428106,0.000877051,0.0001965256,0.0002599711,0.0010830832,0.0001821573,0.0035488897,0.0008189794,0.0005921194,0.0001017163,0.000546664,0.0022135283,0.0003029567,7.49799312643884E-005,4.57776869302674E-005,2.81829475370945E-005,8.80289307890598E-005,0.0002726354,0.0017462404,0.0005012802,0.0006519617,2.87243180136232E-005,2.26093037096858E-005,0.0002781647,0.0003530019,0.0002337856,0.0003726166,0.0005898925,0.0009690134,4.63588894490995E-005,0.0004923149,6.43391434141164E-005,0.0001230233,0.0007299194,0.000065396,0.000670757,0.0001142624,0.0001102243,0.0010891935,0.0018046247,0.0012697308,0.0010470732,0.002593844,0.0041732595,0.0012365945,0.0034197684
X20,6,olympic doping games olympics sports sport vitoria de anti athletes ioc sporting rio porto world london benfica bid gold ,,NA,0.0001808009,0.0002237396,9.56633732342016E-005,0.0082974452,4.30360867080573E-005,0.0029604065,0.0008088541,2.9171782537812E-005,0.0001312085,0.0003003585,0.0105793222,0.0017258212,0.0031466937,0.0012068385,0.0014038363,0.0002341848,0.0011305695,0.0005923454,0.0003828753,0.0002886684,7.36902386834258E-005,2.56342849225299E-005,3.11320832426475E-005,0.0005175792,0.0011380921,0.0004465782,0.0001242589,0.0002362148,0.0002769334,0.0005838918,0.0012596525,0.0002332971,0.0014999097,0.0001923293,0.000669299,5.02654771317315E-005,7.20763502791326E-005,0.0003401386,0.0003221986,0.0004667481,0.0004960467,0.0002265012,3.65532422570493E-005,3.49786474663237E-005,0.0007062385,0.0005301209,0.000032837,0.0001289473,2.93900891369548E-005,3.17782268474459E-005,0.0005299783,0.0005578769,2.60130640694137E-005,0.0004372701,0.0004853126,0.0002022995,0.0001088218,0.0004873392,0.0004609471,0.0007657798
X21,6,congo ntaganda rwanda congolese eastern icc rebels court rwandan government international crimes peace rebel kigali kinshasa democratic republic bosco ,,NA,0.0008138682,0.0003927189,0.0007699486,0.0003863105,4.16894835950158E-005,0.0008001794,0.0006998305,5.45372975037738E-005,9.90342785658571E-005,0.0006312687,0.0007354663,0.0013551301,0.0010987431,0.0029665345,0.0003146714,0.000065109,0.0017463213,0.0012518624,0.0002701143,0.0038576786,0.0098129237,0.0044508197,0.0045258965,0.0016438128,0.0069151076,0.0022127998,0.0002349892,0.001130572,0.0006731091,2.73521986120652E-005,0.0006781099,0.0012393218,0.0009451157,0.0005150602,0.0007238191,0.0012174011,0.0003081293,0.0009217525,0.0002092669,0.0002809865,0.0014824499,0.0004752775,0.000276515,0.00006108,0.0004494938,0.0008294284,0.0004674707,0.0001060454,9.53952467463083E-005,4.19486649690307E-005,8.30380500141667E-005,0.0009199674,0.0005147041,0.0012860344,0.0020764366,0.0011757709,2.54585022555171E-005,0.00013968,0.0025432933,0.001925466
X22,7,set match final world number seed game serve victory win sharapova open djokovic seeded champion russian semi murray won ,,NA,0.0102813893,0.0099999261,0.0045889601,0.0070306384,0.007113014,0.0049231434,0.007745897,0.0080699309,0.0145995655,0.003684743,0.0058114882,0.0068192653,0.0047079683,0.0061090981,0.0084182023,0.0143996,0.0039560536,0.0040381843,0.0010313587,0.0046411641,0.0086452648,0.0121059826,0.0098602565,0.0048459184,0.0091190025,0.0052143075,0.003400511,0.0026396738,0.0103852674,0.0083040102,0.0100710927,0.0067591804,0.0068567907,0.0095863869,0.005708298,0.005942907,0.0106508197,0.0044766734,0.0050499397,0.005931832,0.0079685327,0.0050878037,0.0090898766,0.0109667302,0.0029098139,0.002573663,0.0024247006,0.0022659828,0.0046914954,0.0067176188,0.005242385,0.0032450813,0.0039965866,0.0081902143,0.0050223331,0.0056134955,0.0102927066,0.0120249118,0.0053839728,0.0032921393
X23,7,crisis problems month risk long including problem time reuters situation threat back potential world system face months lack point ,,NA,0.0117220302,0.0122863992,0.0057759405,0.0086499135,0.0156557058,0.0091161729,0.0128818728,0.0134071674,0.0112081535,0.0182239671,0.0056085527,0.015504341,0.0053491973,0.013060422,0.0090560814,0.0197291782,0.0085999931,0.0146315444,0.0106416651,0.007706873,0.0101709564,0.0114041465,0.0172848632,0.0073036666,0.0139218265,0.0184068476,0.0116120884,0.0329444675,0.0110642225,0.019972706,0.0131893795,0.025477171,0.0163601725,0.0121419348,0.0210840088,0.0186071747,0.0171773272,0.0131016078,0.0083904572,0.0101419599,0.0105159784,0.0135186711,0.0122816582,0.0181024224,0.0036852659,0.0116806167,0.0105758108,0.0092550525,0.0152587336,0.010736325,0.0090425596,0.0107852979,0.0104432152,0.0151129331,0.009764581,0.0152641122,0.0137703395,0.0188129443,0.0066842981,0.0001007267
X24,7,israel obama israeli netanyahu president visit jerusalem iran peace minister jewish palestinian palestinians prime israelis benjamin east middle nuclear ,,NA,0.0008405112,0.0008785943,0.0212792146,0.0233309116,0.0180759358,0.0249546541,0.008643056,0.0014458961,0.0004357668,0.0032158377,0.0106587305,0.0086809467,0.0113391475,0.0055160305,0.0003468243,0.0010828152,0.0039282171,0.0181128237,0.0113057932,0.019527567,0.0094330944,0.0001944822,0.0012311424,0.0094939947,0.0091080436,0.0088199408,0.009332413,0.0003144188,0.0003042308,0.0002202415,0.0008796361,0.0039930479,0.0040588983,0.0036048629,0.0037266557,0.0004077992,0.0004498051,0.0037869413,0.0029989506,0.0048344311,0.0061898845,0.002177505,0.0004165576,0.0003769787,0.0034270579,0.0035050956,0.0132462818,0.0172607193,0.0118216597,0.0002299198,0.0024066273,0.0088609942,0.0089030611,0.026820932,0.0143167748,0.0097871537,0.0013120018,0.0007366681,0.0177114269,0.0080724836
X25,7,peacekeepers golan heights tunisia rebels syrian israel syria israeli united nations forces jamla undof islamist ben tunis ali held ,,NA,0.0200832892,0.0131257562,0.0125927707,0.011580111,0.0047270613,0.0161939976,0.0049638391,0.0175570688,0.0147025981,0.0096775586,0.0107889782,0.0133889557,0.0148881572,0.0048715622,0.0171731721,0.0100363925,0.0103700062,0.0158180035,0.0077509544,0.013241411,0.0063907332,0.0369350092,0.0192183329,0.0131171934,0.0095214084,0.0084871245,0.0227225488,0.013222273,0.0170644657,0.0330004722,0.0150701962,0.0169121503,0.0075126689,0.0210180693,0.0076275813,0.0254867852,0.016097036,0.0102875992,0.000177076,0.0146558933,0.0123416404,0.0054164046,0.0260138512,0.0095205384,0.0070560473,0.0169146355,0.0047610323,0.0143210853,6.75167732307682E-005,0.0022959175,0.0069143039,0.0037862538,0.0037967353,0.0065148365,0.0059844948,0.006524621,0.0084068897,0.005514802,0.0048096353,0.0065739468
X26,7,sports nba infostrada pct division results caps home gb games team la march miami ny knicks atlanta orlando philadelphia ,,NA,0.0109856292,0.0081662396,0.0017399679,8.1485170533544E-005,0.0107082246,0.014379149,0.0307853907,0.0229160154,0.0231304508,0.0139186974,0.0111496121,0.011762466,0.0041644374,0.0009336093,0.0050552237,0.0027381138,0.0021348027,0.0186003623,0.0236307627,0.0355999634,0.0142082408,0.046795179,0.0174080788,0.0191821987,0.0072597511,0.0024817301,0.0050144551,0.0038084301,0.0020438435,0.0001043554,0.0601624326,0.0527592566,0.0355617953,0.0120891921,0.0237308407,0.0144608867,0.009541853,0.0130164311,0.017144528,0.0136472778,0.008707323,0.0076629102,0.0050552236,0.0025732884,0.0022260096,0.0001501611,0.0002052791,0.0001456595,0.0002404431,0.0057916089,0.0099255849,0.0082261876,0.0234974993,0.0285274241,0.028028672,0.0179219335,0.0116696107,0.0058119603,0.0166845208,0.0226806643
X27,7,tsarnaev boston tamerlan brothers russia dzhokhar fbi brother chechen states united bombings bombing police marathon dagestan suspect killed russian ,,NA,0.0006169728,0.000121809,0.0002478228,0.0001179261,2.50215401556994E-005,2.95404294076099E-005,0.00002311,2.54481434489479E-005,0.0001643083,0.0001397691,1.89890677246558E-005,0.0005605533,0.0001715385,3.36113556145847E-005,1.65402748437768E-005,0.000015612,2.91272785240228E-005,2.32540948731202E-005,3.17136145075457E-005,2.49284621685536E-005,2.36745843778864E-005,0.0004140532,5.80558606036515E-005,4.67159222634712E-005,8.08418493818381E-005,2.97304596520004E-005,3.33124083418212E-005,0.0013450473,0.0001846367,0.0004259613,0.0002405713,3.43156071288548E-005,2.06750926359439E-005,0.0040862157,0.0261476368,0.0255418495,0.0343438569,0.0047589252,0.0004128258,0.0001654647,0.0004808195,8.92264147571492E-005,0.0004579523,0.0008018836,0.0016834625,0.000270762,2.29308736862571E-005,0.0002799322,9.74064117681557E-005,0.0079038737,0.0109472831,0.0027243351,2.26926203473188E-005,9.49508807836143E-005,2.0509887876096E-005,2.01866393389775E-005,1.68243193778047E-005,4.82017569931099E-005,0.0001545144,9.93037535597166E-005
